food_category	restaurant	item_name	item_description	calories	total_fat	saturated_fat	trans_fat	cholesterol	sodium	carbohydrates	dietary_fiber	sugar	protein	health_score	reasoning	food_type	protein_type	
Sandwiches	Arby's	Classic Chicken	"Classic Chicken, Crispy Juicy Chicken"	460	25	11	0	40	400	54	2	36	7	5.5	"High: saturated fat, sugar | Low: dietary fiber, protein"	Sandwiches	Chicken	
Sandwiches	Arby's	Buffalo Chicken	"Buffalo Chicken, Crispy Juicy Chicken"	430	18	9	0	0	210	65	2	39	4	6.1	"High: saturated fat, sugar | Low: dietary fiber, protein"	Sandwiches	Chicken	
Sandwiches	Arby's	"Turkey, Ranch & Bacon Sandwich"	"Turkey, Ranch & Bacon Sandwich, Market Fresh"	390	19	2.5	0	0	460	49	0	0	5	7.6	"Low: dietary fiber, protein"	Sandwiches	Pork	
Sandwiches	Arby's	Turkey & Swiss Sandwich	"Turkey & Swiss Sandwich, Market Fresh"	530	26	3.5	0	0	630	68	0	0	7	7.1	"Low: dietary fiber, protein"	Sandwiches	Turkey	
Sandwiches	Arby's	Roast Turkey Club Wrap	Roast Turkey Club Wrap	620	30	4	0	0	730	79	0	0	8	6.8	"High: total fat | Low: dietary fiber, protein"	Sandwiches	Turkey	
Sandwiches	Arby's	Buffalo Chicken Wrap	Buffalo Chicken Wrap	10	0	0	0	0	85	3	0	2	0	8.8	"Low: dietary fiber, protein"	Sandwiches	Chicken	
Sandwiches	Arby's	Jalapeño Roast Beef Slider	"Jalapeño Roast Beef Slider, Sliders"	250	0	0	0	0	60	62	0	62	0	7.3	"High: sugar | Low: dietary fiber, protein"	Sandwiches	Beef	
Sandwiches	Arby's	Turkey Slider	"Turkey Slider, Sliders"	180	0	0	0	0	45	44	0	44	0	7.4	"High: sugar | Low: dietary fiber, protein"	Sandwiches	Turkey	
Sandwiches	Arby's	Jalapeño Roast Beef Slider	"Jalapeño Roast Beef Slider, Kids Meals"	0	0	0	0	0	60	0	0	0	0	8.9	"Low: dietary fiber, protein"	Sandwiches	Beef	
Sandwiches	Arby's	Sausage Biscuit	"Sausage Biscuit, Breakfast"	340	17	10	0	15	1180	36	1	3	10	6.6	"High: saturated fat, sodium | Low: dietary fiber, protein"	Sandwiches	Pork	
Sandwiches	Arby's	Bacon Biscuit	"Bacon Biscuit, Breakfast"	340	16	9	0	30	1420	37	1	4	13	6.9	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	Ham Biscuit	"Ham Biscuit, Breakfast"	390	18	9	0	20	1330	44	2	2	13	7.2	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	Chicken Biscuit	"Chicken Biscuit, Breakfast"	470	22	8	0	145	1260	46	2	5	23	6.3	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Arby's	"Bacon, Egg & Cheese Sourdough"	"Bacon, Egg & Cheese Sourdough, Breakfast"	430	26	13	0.5	175	1010	29	1	4	18	5.3	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Bacon, Egg & Cheese Croissant"	"Bacon, Egg & Cheese Croissant, Breakfast"	470	28	14	0	145	1720	37	1	4	18	5.7	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Bacon, Egg & Cheese Biscuit"	"Bacon, Egg & Cheese Biscuit, Breakfast"	4990	26	10	0	145	1380	41	4	4	21	5.7	"High: calories, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Bacon, Egg & Cheese Wrap"	"Bacon, Egg & Cheese Wrap, Breakfast"	630	38	13	0	175	1450	47	2	5	24	5.3	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Sausage, Egg & Cheese Sourdough"	"Sausage, Egg & Cheese Sourdough, Breakfast"	580	43	19	0.5	205	1200	30	1	4	19	4.5	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Sausage, Egg & Cheese Croissant"	"Sausage, Egg & Cheese Croissant, Breakfast"	630	44	20	0	175	1910	39	1	4	19	5.1	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Sausage, Egg & Cheese Biscuit"	"Sausage, Egg & Cheese Biscuit, Breakfast"	620	40	15	0	175	1470	42	4	5	20	5.7	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Sausage, Egg & Cheese Wrap"	"Sausage, Egg & Cheese Wrap, Breakfast"	460	18	5	0	155	1290	47	2	4	26	6.8	"High: cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Ham, Egg & Cheese Sourdough"	"Ham, Egg & Cheese Sourdough, Breakfast"	410	23	11	0.5	185	1040	30	1	3	21	5.4	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Ham, Egg & Cheese Croissant"	"Ham, Egg & Cheese Croissant, Breakfast"	460	24	12	0	155	1750	38	1	3	21	5.8	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Ham, Egg & Cheese Biscuit"	"Ham, Egg & Cheese Biscuit, Breakfast"	470	23	9	0	165	1450	43	4	3	22	6.6	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	"Ham, Egg & Cheese Wrap"	"Ham, Egg & Cheese Wrap, Breakfast"	340	17	10	0	70	910	29	1	2	17	7.2	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	Ham & Swiss Croissant	"Ham & Swiss Croissant, Breakfast"	330	19	10	0	50	740	27	1	2	14	7.2	High: saturated fat | Low: dietary fiber	Sandwiches	Pork	
Sandwiches	Arby's	Bacon & Cheese Croissant	"Bacon & Cheese Croissant, Breakfast"	490	35	16	0	80	940	28	1	3	15	6.1	"High: total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	Sausage & Cheese Croissant	"Sausage & Cheese Croissant, Breakfast"	350	10	1.5	0	0	250	57	5	13	7	9	"Low: dietary fiber, protein"	Sandwiches	Pork	
Sandwiches	Arby's	Sausage Gravy Biscuit	"Sausage Gravy Biscuit, Breakfast"	970	56	27	0	35	3540	96	3	5	18	6	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Arby's	Sausage Gravy Biscuit-Double	"Sausage Gravy Biscuit-Double, Breakfast"	250	14	2	0	0	430	23	2	0	2	8.1	"Low: dietary fiber, protein"	Sandwiches	Pork	
Sandwiches	Buffalo Wild Wings	Street Tacos	"Street Tacos, w/o Chips & Salsa, Wraps & Tacos"	630	39	9	0	80	2140	43	3	4	28	6.2	"High: total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Burgers	Buffalo Wild Wings	All-American Cheeseburger	"All-American Cheeseburger, Protein Substitutions Available, w/o French Fries, Burgers"	820	53	22	2.5	145	2040	38	3	7	48	3.8	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Burgers	Buffalo Wild Wings	Cheese Curd Bacon Burger	"Cheese Curd Bacon Burger, Protein Substitutions Available, w/o French Fries, Burgers"	1210	83	35	4	210	2790	50	4	9	68	3.7	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Pork	
Burgers	Buffalo Wild Wings	Southwestern Black Bean Burger	"Southwestern Black Bean Burger, Protein Substitutions Available, w/o French Fries, Burgers"	740	42	11	0	30	1780	74	17	11	31	7.4	"High: calories, total fat, saturated fat, sodium"	Burgers	Beef	
Sandwiches	Buffalo Wild Wings	Buffalo Ranch Chicken Sandwich	"Buffalo Ranch Chicken Sandwich, w/o French Fries, Sandwiches"	730	41	12	1.5	75	3440	59	4	7	31	4.8	"High: calories, total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	Nashville Hot Chicken Sandwich	"Nashville Hot Chicken Sandwich, w/o French Fries, Sandwiches"	810	47	14	1.5	70	2690	67	4	13	31	4.4	"High: calories, total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	Southern Chicken Sandwich	"Southern Chicken Sandwich, w/o French Fries, Sandwiches"	870	53	17	1.5	95	1560	62	3	11	38	4	"High: calories, total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Burgers	Buffalo Wild Wings	Cheeseburger	"Cheeseburger, w/o French Fries or Low Fat Milk, Kids"	470	25	11	1.5	70	930	34	2	5	27	5.5	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Burgers	Beef	
Salads	Buffalo Wild Wings	Entree House Salad	"Entree House Salad, B-Dubs Express Exclusives"	100	5	2.5	0	15	110	10	5	4	6	9.7	"Low: dietary fiber, protein"	Salads	Veggie	
Sandwiches	Buffalo Wild Wings	Breakfast Club Sandwich	"Breakfast Club Sandwich, Breakfast, at Participating Locations Only"	1170	73	31	1	390	2540	88	8	7	45	4.6	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium"	Sandwiches	Egg	
Salads	Buffalo Wild Wings	Caesar Salad with Caesar Dressing	"Caesar Salad with Caesar Dressing, Sides, Party Menu"	1540	121	25	0	95	4060	83	9	13	29	6.3	"High: calories, total fat, saturated fat, sodium"	Salads	Veggie	
Sandwiches	Buffalo Wild Wings	Buffalo Ranch Chicken Wrap	"Buffalo Ranch Chicken Wrap, w/o Chips & Salsa, Wraps & Tacos"	860	49	15	1.5	95	3240	71	3	6	35	4.3	"High: calories, total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Burgers	Buffalo Wild Wings	Bacon Smashed Hatch Chile Burger	"Bacon Smashed Hatch Chile Burger, Protein Substitutions Available, w/o French Fries, Burgers"	990	64	27	2.5	200	2380	43	3	9	60	3.5	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Pork	
Burgers	Buffalo Wild Wings	BBQ Bacon Burger - at select locations	"BBQ Bacon Burger - at select locations, Protein Substitutions Available, w/o French Fries, Burgers"	1090	70	29	3	170	2360	58	2	13	57	3	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Pork	
Burgers	Buffalo Wild Wings	Smoked Brisket Burger	"Smoked Brisket Burger, Protein Substitutions Available, w/o French Fries, Burgers"	1020	66	27	3.5	190	2610	44	3	11	61	3.4	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Sandwiches	Buffalo Wild Wings	Brisket Tacos	"Brisket Tacos, w/o Chips & Salsa, Wraps & Tacos"	610	30	11	2	95	1820	53	6	9	33	5.4	"High: total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Salads	Buffalo Wild Wings	Chicken Caesar Salad with Caesar Dressing	"Chicken Caesar Salad with Caesar Dressing, Greens"	780	59	12	0	95	2700	30	5	6	33	6.1	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Salads	Chicken	
Salads	Buffalo Wild Wings	Chopped Cobb Salad with Ranch Dressing	"Chopped Cobb Salad with Ranch Dressing, Greens"	830	69	16	1	285	1900	15	5	7	38	4.2	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Salads	Veggie	
Sandwiches	Buffalo Wild Wings	"Biscuit Sandwich, with Bacon and American Cheese"	"Biscuit Sandwich, with Bacon and American Cheese, Breakfast, at Participating Locations Only"	950	53	24	1.5	235	3180	90	9	10	30	4.8	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium"	Sandwiches	Pork	
Sandwiches	Buffalo Wild Wings	"Biscuit Sandwich, with Bacon and Cheddar Cheese"	"Biscuit Sandwich, with Bacon and Cheddar Cheese, Breakfast, at Participating Locations Only"	970	55	24	1	235	3030	90	9	9	32	4.8	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium"	Sandwiches	Cheese	
Sandwiches	Buffalo Wild Wings	"Biscuit Sandwich, with Sausage and American Cheese"	"Biscuit Sandwich, with Sausage and American Cheese, Breakfast, at Participating Locations Only"	1090	69	29	1.5	260	3110	95	9	9	28	4.8	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium"	Sandwiches	Pork	
Sandwiches	Buffalo Wild Wings	"Biscuit Sandwich, with Sausage and Cheddar Cheese"	"Biscuit Sandwich, with Sausage and Cheddar Cheese, Breakfast, at Participating Locations Only"	1110	70	29	1	260	2960	95	9	9	30	4.8	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium"	Sandwiches	Cheese	
Sandwiches	Buffalo Wild Wings	"Breakfast Wrap, with Bacon"	"Breakfast Wrap, with Bacon, Breakfast, at Participating Locations Only"	1330	77	26	2	615	3990	114	10	12	45	4.7	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium"	Sandwiches	Pork	
Sandwiches	Buffalo Wild Wings	"Breakfast Wrap, with Hand-Breaded Chicken"	"Breakfast Wrap, with Hand-Breaded Chicken, Breakfast, at Participating Locations Only"	1430	80	27	2.5	630	4270	124	11	12	52	4.7	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	"Breakfast Wrap, with Sausage"	"Breakfast Wrap, with Sausage, Breakfast, at Participating Locations Only"	1510	96	32	2	640	4080	119	10	12	46	4.7	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium"	Sandwiches	Pork	
Sandwiches	Buffalo Wild Wings	"Buffalo Bird Dawg, 1 ea"	"Buffalo Bird Dawg, 1 ea, Bird Dawgs"	460	24	8	0.5	100	1490	43	2	7	20	5.9	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	"Honey BBQ Bird Dawg, 1 ea"	"Honey BBQ Bird Dawg, 1 ea, Bird Dawgs"	580	23	8	0.5	95	1440	72	2	21	20	5.1	"High: saturated fat, sodium, sugar | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	"Loaded Bird Dawg, 1 ea"	"Loaded Bird Dawg, 1 ea, Bird Dawgs"	510	26	10	0.5	110	1490	49	2	12	22	5.1	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Pizza	Buffalo Wild Wings	Buffalo Boneless Bar Pizza	"Buffalo Boneless Bar Pizza, Bar Pizzas"	1370	91	25	2.5	150	4110	80	3	5	56	3.7	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Pizza	Chicken	
Pizza	Buffalo Wild Wings	Honey BBQ Boneless Bar Pizza	"Honey BBQ Boneless Bar Pizza, Bar Pizzas"	1300	54	23	2	190	5240	137	3	51	69	2.6	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium, sugar | Low: dietary fiber"	Pizza	Chicken	
Burgers	Buffalo Wild Wings	All-American Bacon Cheeseburger - at select locations	"All-American Bacon Cheeseburger - at select locations, Protein Substitutions Available, w/o French Fries, Burgers"	930	61	25	2.5	165	2210	38	3	8	56	3.6	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Pork	
Sandwiches	Buffalo Wild Wings	Classic Chicken Sandwich	"Classic Chicken Sandwich, w/o French Fries, Sandwiches"	620	32	10	1.5	70	1220	54	3	5	30	5.1	"High: total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	Saucy Chicken Sandwich	"Saucy Chicken Sandwich, w/o French Fries, Sandwiches"	500	19	8	1	60	1210	53	3	5	30	6	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	Classic Chicken Wrap with Pulled Chicken	"Classic Chicken Wrap with Pulled Chicken, w/o Chips & Salsa, Wraps & Tacos"	680	25	11	0	145	2000	57	2	6	56	5.6	"High: calories, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	Classic Chicken Wrap with Boneless Wings	"Classic Chicken Wrap with Boneless Wings, w/o Chips & Salsa, Wraps & Tacos"	670	29	12	1	85	1900	68	3	5	34	5	"High: calories, total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Salads	Buffalo Wild Wings	Garden Side Salad	"Garden Side Salad, Sides & Substitutions"	80	4.5	2.5	0	15	100	7	3	3	5	9.3	"Low: dietary fiber, protein"	Salads	Veggie	
Salads	Buffalo Wild Wings	Crispy Buffalo Chicken Salad with Bleu Cheese Dressing	"Crispy Buffalo Chicken Salad with Bleu Cheese Dressing, Greens"	910	70	19	1.5	150	3180	36	5	6	35	4.2	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Salads	Chicken	
Salads	Buffalo Wild Wings	House Side Salad	"House Side Salad, B-Dubs Express Exclusives"	80	4.5	2.5	0	15	100	7	3	3	5	9.3	"Low: dietary fiber, protein"	Salads	Veggie	
Sandwiches	Buffalo Wild Wings	Classic Chicken Wraps with Pulled Chicken	"Classic Chicken Wraps with Pulled Chicken, Tenders & More"	4050	149	68	2.5	870	12030	341	17	32	206	4	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium, sugar"	Sandwiches	Chicken	
Sandwiches	Buffalo Wild Wings	Classic Chicken Wraps with Boneless Wings (6 ea)	"Classic Chicken Wraps with Boneless Wings (6 ea), Tenders & More"	4030	174	73	7	500	11380	410	17	32	206	4	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium, sugar"	Sandwiches	Chicken	
Burgers	Burger King	Whopper Jr.	"Whopper Jr., Flame Grilled Burgers"	310	18	5	0	40	390	27	1	7	13	8	Low: dietary fiber	Burgers	Beef	
Sandwiches	Burger King	Spicy Crispy Chicken Jr. Sandwich	"Spicy Crispy Chicken Jr. Sandwich, Chicken & Fish"	390	21	3.5	0	30	740	37	2	6	12	7.8	Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	Burger King	Original Chicken Sandwich	"Original Chicken Sandwich, Chicken & Fish"	660	40	7	1	75	1170	48	2	5	28	4.9	"High: total fat, saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Burger King	Crispy Chicken Sandwich	"Crispy Chicken Sandwich, Chicken & Fish"	670	41	7	0	60	1070	54	2	7	23	6.3	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Burger King	"Bacon, Egg & Cheese Croissan'Wich"	"Bacon, Egg & Cheese Croissan'Wich, Breakfast"	340	18	8	0	185	730	30	1	4	13	6.4	"High: saturated fat, cholesterol | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Burger King	Sausage Biscuit Sandwich	"Sausage Biscuit Sandwich, Breakfast"	430	30	13	0	35	1150	30	1	2	11	6	"High: total fat, saturated fat, sodium | Low: dietary fiber, protein"	Sandwiches	Pork	
Sandwiches	Burger King	"Ham, Egg & Cheese Croissan'Wich"	"Ham, Egg & Cheese Croissan'Wich, Breakfast"	340	16	7	0	175	1000	31	1	5	16	6.6	"High: saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Burger King	"Sausage, Egg & Cheese Croissan'Wich"	"Sausage, Egg & Cheese Croissan'Wich, Breakfast"	520	35	13	0	165	910	30	1	4	18	5.6	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Burger King	Chicken Jr. Sandwich	"Chicken Jr. Sandwich, Chicken & Fish"	450	30	5	1	30	780	34	2	5	12	6	"High: total fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Sandwiches	Burger King	Big Fish Sandwich	"Big Fish Sandwich, Chicken & Fish"	510	28	4.5	0	30	1180	51	2	7	16	7.3	"High: total fat, sodium | Low: dietary fiber"	Sandwiches	Fish	
Burgers	Burger King	"Flame Grilled Burgers, Bacon King"	"Flame Grilled Burgers, Bacon King, Flame Grilled Burgers"	1310	93	39	2.5	285	2870	52	2	11	70	3.1	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Pork	
Sandwiches	Burger King	Egg-Normous Burrito	"Egg-Normous Burrito, Breakfast"	810	44	16	0	375	2010	69	4	4	33	5.5	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Egg	
Sandwiches	Burger King	"Fully Loaded Croissan'Wich (Bacon, Ham, Sausage)"	"Fully Loaded Croissan'Wich (Bacon, Ham, Sausage), Breakfast"	570	37	15	0	195	1650	32	1	5	27	5.1	"High: total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Sandwiches	Pork	
Sandwiches	Burger King	BBQ Bacon Crispy Chicken Sandwich	"BBQ Bacon Crispy Chicken Sandwich, Chicken & Fish"	790	49	10	0	80	1630	60	2	13	28	5.2	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Burgers	Burger King	"Flame Grilled Burgers, Double Quarter Pound King"	"Flame Grilled Burgers, Double Quarter Pound King, Flame Grilled Burgers"	1070	67	33	1.5	255	2450	53	2	12	65	3.1	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Sandwiches	Burger King	Spicy Crispy Chicken Sandwich	"Spicy Crispy Chicken Sandwich, Chicken & Fish"	700	42	7	0	65	1140	57	3	8	25	6.3	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Chicken	
Burgers	Burger King	Triple Whopper w/ Cheese	"Triple Whopper w/ Cheese, Flame Grilled Burgers"	1300	89	36	1.5	300	1830	52	2	12	76	3.1	"High: calories, total fat, saturated fat, trans fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Burgers	Burger King	"Flame Grilled Burgers, Stacker King Single"	"Flame Grilled Burgers, Stacker King Single, Flame Grilled Burgers"	790	49	20	0	145	1710	49	1	11	40	4.5	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
Burgers	Burger King	"Flame Grilled Burgers, Double Stacker King"	"Flame Grilled Burgers, Double Stacker King, Flame Grilled Burgers"	1210	82	37	0	280	2580	52	1	12	70	4.2	"High: calories, total fat, saturated fat, cholesterol, sodium | Low: dietary fiber"	Burgers	Beef	
